LinkedIn ads,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
September,Campaign group name,Total spent,Impressions,Clicks,Leads,Total engagements,CTR,CPC,CPL,CP eng,SAL,Open deal,Cost per SAL,
,NA 2025,"$6,577 ",46941,258,24,870,0.55%,$25.50 ,$274 ,$7.60 ,0,0,#DIV/0!,
,EMEA 2025,"$12,027 ",162342,841,59,4529,0.52%,$14.30 ,$204 ,$2.70 ,6,5,"$2,004 ",
,TOTAL,"$18,603 ",209283,1099,83,5399,0.53%,$16.90 ,$224 ,$3.40 ,6,5,"$3,101 ",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
October,Campaign group name,Total spent,Impressions,Clicks,Leads,Total engagements,CTR,CPC,CPL,CP eng,SAL,Open deal,Cost per SAL,
,NA 2025,"$4,541 ",25141,154,17,381,0.61%,$29.50 ,$267 ,$11.90 ,1,0,"$4,541 ",
,EMEA 2025,"$8,508 ",98141,532,27,1470,0.54%,$16.00 ,$315 ,$5.80 ,1,1,"$8,508 ",
,TOTAL,"$13,049 ",123282,686,44,1851,0.56%,$19.00 ,$297 ,$7.00 ,2,1,"$13,049 ",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
November,Campaign group name,Total spent,Impressions,Clicks,Leads,Total engagements,CTR,CPC,CPL,CP eng,SAL,Open deal,Cost per SAL,
,NA 2025,"$14,941 ",94727,509,39,1981,0.54%,$29.40 ,$383 ,$7.50 ,0,0,#DIV/0!,
,EMEA 2025,"$11,666 ",157826,794,34,2065,0.50%,$14.70 ,$343 ,$5.60 ,4,2,"$2,917 ",
,TOTAL,"$26,608 ",252553,1303,73,4046,0.52%,$20.40 ,$364 ,$6.60 ,4,2,"$6,652 ",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
December,Campaign group name,Total spent,Impressions,Clicks,Leads,Total engagements,CTR,CPC,CPL,CP eng,SAL,Open deal,Cost per SAL,
,NA 2025,"$10,694 ",54329,326,31,5051,0.60%,$32.80 ,$345 ,$2.10 ,0,0,#DIV/0!,
,EMEA 2025,"$8,382 ",118498,621,16,2281,0.52%,$13.50 ,$504 ,$3.70 ,0,0,#DIV/0!,
,TL 2025,"$2,660 ",21185,1242,0,1250,5.86%,$2.10 ,,$2.10 ,0,0,#DIV/0!,
,TOTAL,"$21,737 ",194012,2189,47,8582,1.13%,$9.90 ,$462 ,$2.50 ,0,0,#DIV/0!,
,,,,,,,,,,,,,,
January,Campaign group name,Total spent,Impressions,Clicks,Leads,Total engagements,CTR,CPC,CPL,CP eng,SAL,Open deal,Cost per SAL,Deal
,NA 2026,"$2,958 ","19,807",110,12,459,0.56%,$26.90 ,$246 ,$6.40 ,0,0,,
,EMEA 2026,"$4,568 ","60,585",320,36,1204,0.53%,$14.30 ,$127 ,$3.80 ,0,0,,
,TL 2026,"$3,690 ","36,604",2039,0,2051,5.57%,$1.80 ,,$1.80 ,0,0,,
,TOTAL,"$11,216 ","116,996","2,469",48,3714,2.11%,$4.50 ,$234 ,$3.00 ,0,0,,
,,,,,,,,,,,,,,
February ,Campaign group name,Total spent,Impressions,Clicks,Leads,Total engagements,CTR,CPC,CPL,CP eng,SAL,Open deal,Cost per SAL,Deal
,EMEA 2025,"$5,312 ","54,028",288,35,1734,0.53%,$18.40 ,$152 ,$3.10 ,0,0,,
,TL 2025,"$2,020 ","32,814",1472,0,1481,4.49%,$1.40 ,,$1.40 ,0,0,,
,TOTAL,"$7,332 ","86,842","1,760",35,"3,215",2.03%,$4.20 ,$209 ,$2.30 ,0,0,,
